title,summary,contents
"France 5-0 South Africa: Kylian Mbappe nets twice with Olivier Giroud, Wissam Ben Yedder and Matteo Guendouzi also scoring",France extend their winning run to seven matches as they thrash South Africa in a friendly in Lille.,Unknown
Women's Six Nations Rugby: 2022: France v Ireland,Live coverage as France take on Ireland in the second round of the Women’s Six Nations.,Unknown
Seiclo: Le Tour de France,Darllediadau byw ac uchafbwyntiau o Le Tour de France. Live coverage and highlights of ...,Unknown
Tour De France,Gordon Cameron follows this year's Tour de France.,Unknown
Masters in France o'r Stiwdio Gefn,Y grwp poblogaidd o Wynedd 'Masters in France' sy'n ymuno â Lisa Gwilym ar gyfer rhagle...,Unknown
Vive La France,US satirist Joe Queenan finds out why France and the United States continually fall out.,Unknown
"Europe's Summer of Elections - Explaining Political Dynamics in France, Britain and Germany","A panel of experts analyse the implications of elections in France, the UK and Germany.",Unknown
France's Forgotten Concentration Camps,Investigating the concentration camps set up in France to hold Spanish Civil War refugees.,Unknown
"Jupiter - President Macron, France and Europe","Mark Urban examines Macron's rise, troubles and future plans for France and the EU.",Unknown
Tour de France Gareth Rhys Owen,Dyddiadur sain y sylwebydd Gareth Rhys Owen yn ystod ras seiclo Tour de France 2018.,Unknown
Plan G: How a Welshman Won the Tour de France,Steve James reflects on Geraint Thomas winning the Tour de France.,Unknown
Geraint Thomas' Life-Changing Tour de France Win,Geraint Thomas tells BBC Sport how winning the Tour de France has changed his life.,Unknown
Scotland’s Heroes: The Road to France,The Scotland Women’s national team prepare to compete at the World Cup in France.,Unknown
Misfits in France,Julian Barnes and Hermione Lee on the Victorian writers and artists who went to France,Unknown
Women's Six Nations: France secure bonus-point win against Italy,Watch highlights as France secure a 39-6 bonus-point win against Italy in their opening match of the 2022 Women's Six Nations.,Unknown
Women's Six Nations: Emilie Boulard scores brilliant try for France against Italy,Watch as Emilie Boulard runs in a brilliant solo try as France beat Italy 39-6 in their opening game of the 2022 Women's Six Nations.,Unknown
Women's Six Nations 2022: France 39-6 Italy,France stifle a determined Italy to open their Women's Six Nations with a gritty bonus-point win in Grenoble.,Unknown
Frances: A Stri ri MS,Frances O'Connell travels to Mexico for potentially life-changing MS treatment.,Unknown
The Green Fields of France,Gerry Kelly goes on a personal journey to discover the story behind his favourite song.,Unknown
Frances: Ceum air cheum,A personal journey with Frances O' Connell in an attempt to alleviate her MS,Unknown
Deborah Frances-White Rolls the Dice,Writer and comedian Deborah Frances-White shares her true-life stories.,Unknown
Rick Stein’s Secret France,Rick Stein searches for France’s best-kept gastronomic secrets.,Unknown
TUC 2013 - Frances O'Grady Speech,"Frances O'Grady's speech to the Trades Union Congress in Bournemouth, from 10 September.",Unknown
Deborah Frances-White Introduces...,Deborah Frances-White gives storytellers the prompt of The Devil You Know.,Unknown
French Presidential Election Result: What Next for France and Europe?,"Coverage of an event at Chatham House on the French presidential election result, 8 May.",Unknown
Art of France,Andrew Graham Dixon takes viewers on a stunning visual journey through French art history.,Unknown
France on a Plate,"A gastronomic tour through French history, from Versailles through to ethnic fusion food.",Unknown
Frances Byrnes - Just Dance,What happens when a brilliant dancer loses his will to dance?,Unknown
About the Mountain by Frances Leviston,A snowboarding instructor counts the boys in her charge as dusk falls on the slopes.,Unknown
France 1939: One Last Summer,A French diary of the summer of 1939 reveals how far war was from the mind of its author.,Unknown
"Thierry Henry: My France, My Euros",Thierry Henry presents a documentary looking at the stories of Euros gone by.,Unknown
Frances Byrnes - Goldengrove,"With life skills to be taught, spinster Margaret transforms young working class girl Narn.",Unknown
"As Deschamps loses his touch with France, has Atletico's philosophy reached its limits?",The podders discuss which European teams are best placed for World Cup success.,Unknown
France Decides,Coverage of the French presidential election,Unknown
Frances McNeil - Nickin' Julius Caesar,"Just picked up for shoplifting, Louise has to face her open-mouthed parents.",Unknown
Lost in France,"Neville Southall goes in search of Leigh Roose, the first celebrity footballer.",Unknown
Frances Ha,"The story of a New York woman who works for a dance company, but can't really dance.",Unknown
Ma France 3 and 4,Stephane Cornicard presents 12 short programmes to help with spoken French.,Unknown
Ma France 1 and 2,Stephane Cornicard presents 12 short programmes to help with spoken French.,Unknown
Frances Byrnes - An Unchoreographed World,Dancer Margot Fonteyn and her lover are trapped in Holland during the German invasion.,Unknown
The Man Who Made France Old,"Julian Barnes and Hermione Lee investigate Prosper Merimee, author and conservationist",Unknown
Frances McNeil - With a Little Help From My Friends,"The story of Brian Epstein during his hectic, turbulent years of managing The Beatles.",Unknown
Ma France,Stephane Cornicard presents 24 short programmes to help with spoken French,Unknown
A Cook's Tour of France,Cookery series celebrating the delights of modern French cuisine.,Unknown
Ford Madox Ford and France,"Julian Barnes & Hermione Lee tell the story of Ford Madox Ford, author of The Good Soldier",Unknown
France Inside Out,"Guide to French travel, people and culture",Unknown
"World Figure Skating Championships: Watch gala from Montpellier, France","Catch up with live coverage of the gala at the World Figure Skating Championships in Montpellier, France.",Unknown
France 2-1 Ivory Coast: Olivier Giroud closes in on Thierry Henry's record,Olivier Giroud is just five goals away from surpassing Thierry Henry's all-time record for France after scoring in a friendly against the Ivory Coast.,Unknown
"England v Ivory Coast LIVE score, commentary & updates plus Spain, Germany, France, Belgium, Italy & Netherlands updates",Follow live text and BBC Radio 5 Live commentary as England continue their World Cup preparations with a win over Ivory Coast at Wembley.,Unknown
France's Antoine Dupont wins Six Nations player award,Antoine Dupont is named Six Nations' player of the championship after leading France to a first Grand Slam in 12 years.,Unknown
Women's Six Nations: Watch France v Italy plus score,Catch up with BBC Sport coverage as France host Italy in the Women's Six Nations.,Unknown
"World Figure Skating Championships LIVE: Watch men's free skate & ice dance free dance from Montpellier, France","Watch live coverage of the ice dance free dance at the World Figure Skating Championships in Montpellier, France.",Unknown
Match of the Day Wales: 2021/22: Wales v France - Welsh Language Commentary,"Coverage of Wales v France in a Women's World Cup qualifier, with Welsh commentary.",Unknown
Jack Nowell: England winger could miss rest of season after breaking arm against France,England and Exeter winger Jack Nowell will miss most of the rest of the season after breaking his arm against France.,Unknown
"World Figure Skating Championships LIVE: Watch women's free skate from Montpellier, France","Watch live coverage of the women's free skate at the World Figure Skating Championships in Montpellier, France.",Unknown
Michelle Visage's Rule Breakers: Tan France: Being bold and taking risks,Tan France discusses how one rule break changed his entire life.,Unknown
Women's Six Nations Rugby: 2022: Scotland v France,"Coverage of Scotland v France in the Women's Six Nations at the Scotstoun Stadium, Glasgow",Unknown
Radio Wales Sport: Women's Six Nations: Wales v France,Live commentary of the Women's Six Nations match between Wales and France.,Unknown
Lance,A revealing and comprehensive chronicle of one of the most infamous athletes of all time.,Unknown
"World Figure Skating Championships LIVE: Watch pairs free skate from Montpellier, France","Watch coverage of the pairs free skate at the World Figure Skating Championships in Montpellier, France.",Unknown
Radio Wales Sport: Women's World Cup Qualifier: Wales v France,Live coverage of the Women's World Cup qualifier between Wales and France.,Unknown
Women's Six Nations Rugby: 2022: France v Italy,Coverage of France v Italy in the Women's Six Nations.,Unknown
Frances Wellburn suicide: Inquest told of gaps in care,"Frances Wellburn received no mental health support during the first lockdown, an inquest hears.",Frances Wellburn suicide: Inquest told of gaps in care Published 23 March Share IMAGE SOURCE FAMILY PHOTO Image caption Frances Wellburn was described as an independent and intelligent woman A former NHS manager who took her own life had received no formal mental health support for two months at the start of lockdown an inquest heard. Frances Wellburn 56 from Fulford York was being treated for a depressive illness and was found hanging at her home on 2 August 2020. An internal NHS trust report had found gaps in the care provided to her. The coroner said it was not possible to say whether they caused or contributed to her death. Giving a narrative conclusion assistant coroner Jonathan Leach described Ms Wellburn as an independent intelligent and resourceful woman. He said she had received treatment for mental health issues for several years but on 15 September 2019 she experienced a sudden and unexpected deterioration in her condition. She was admitted to Cross Lane Hospital in Scarborough and was diagnosed with recurrent depressive disorder with psychotic symptoms. After being discharged from hospital on 13 October 2019 Ms Wellburns care was provided by the community mental health team but contact ended when the UK entered lockdown in March 2020. Image caption Ms Wellburns sister Rebecca said she hoped the trust recognised more could have been done to support her recovery Speaking after the inquest Ms Wellburn\s sister Rebecca said the significant gaps in care seemed to be essential to understanding the events which led to her death. I hope the Tees Esk and Wear Valley NHS Foundation Trust] recognise that more could have been done to support Frances\ recovery and prevent her tragic suicide she said. The trust said it was deeply sorry for Ms Wellburn\s death. Elizabeth Moody director of nursing and governance said: We have worked hard to make improvements following our own review into Frances\s tragic death in 2020 she said. The inquest heard from Alison McGrath the nurse who compiled the review into the care provided. She highlighted no referral had been made to the early intervention in psychosis (EIP) programme which she said should have been made at the point the first episode of psychosis was suspected. However she added it was difficult to say what difference it would have made. BBC Action Line If you have been affected by any of these issues in this story you can visit the BBCs Action Line. The inquest heard Ms Wellburns health deteriorated and she was detained under the Mental Health Act after taking an overdose on 26 May. She remained in hospital until 25 June and was once again cared for by the community mental health team throughout July. She last spoke with her care coordinator on 27 July and her consultant psychiatrist on the 28 July. The coroner said they had agreed there was no need to escalate her care and that an assessment under the Mental Health Act was not required. On 2 August police responded to a call from her family who were concerned. North Yorkshire Police attended her home on Main Street in Fulford and found her body. Follow BBC Yorkshire on Facebook Twitter and Instagram. Send your story ideas to yorkslincs.news@bbc.co.uk. Related Internet Links Tees Esk and Wear Valley NHS Foundation Trust North Yorkshire Coroner The BBC is not responsible for the content of external sites. Related Topics York Mental health]
Frances Finn: Andy Whittaker sits in (27/03/2022),"Andy Whittaker sits in. Music, news, conversation and our weekly Sunday Service.",Unknown
Assignment: Dying to hunt in France,A string of fatal accidents have turned hunting into a hot topic in the French elections,Unknown
Crossing Continents: Dying to hunt in France,A string of fatal accidents have turned hunting into a hot topic in the French elections.,Unknown
Six Nations Grand Slam: France sweep fans off their feet with glorious triumph,"A year out from a home World Cup, France's team, drawn from all parts of the country and society, revive memories of sporting triumphs past at the Stade de France.",Unknown
Six Nations 2022 highlights: France beat England to complete Grand Slam,Watch highlights as France sweep to a first Six Nations Grand Slam for 12 years with a 25-13 victory over England at the Stade de France in Paris.,Unknown
Six Nations: France beat England to sweep to Grand Slam,France strut to a first Grand Slam in 12 years as they run in three tries to comfortably see off England in front of a jubilant Stade de France.,Unknown
Six Nations 2022 permutations: How France and Ireland can win title,"France will chase their first Six Nations Grand Slam and title since 2010 against England, with Ireland also able to win the championship.",Unknown
"Six Nations 2022: France v England match preview, team news & key stats","Will England deny France a Grand Slam? Team news, match preview and statistics for Saturday's Six Nations match in Paris.",Unknown
Six Nations: Ireland 26-5 Scotland - Irish clinch Triple Crown before title hopes ended by France,Ireland beat Scotland to clinch first Triple Crown in four years before Six Nations title hopes are ended by new champions France defeating England.,Unknown
Six Nations: England face being shown up by fired-up France,France are fully focused on their Grand Slam bid but England are searching for direction and shape as the pressure grows on head coach Eddie Jones.,Unknown
Under-20 Six Nations LIVE: Watch France v England plus score,Watch live coverage as France host England in the Under-20 Six Nations.,Unknown
Six Nations: Four ways England can spoil France Grand Slam party,"France have the champagne on ice as they hunt a first Grand Slam since 2010, but underdogs England can sniff some frailties in the title favourites.",Unknown
"Six Nations LIVE: France v England score, commentary & updates",Reaction and analysis after France outclass England 25-13 in Paris to win the Six Nations from Ireland.,Unknown
Frances Finn: 17/04/2022,"Frances brings you music, news, conversation and our weekly Sunday Service.",Unknown
England v France: George Furbank starts in Paris,George Furbank starts at full-back in a surprise tactical switch for England's final-round Six Nations meeting with France on Saturday.,Unknown
Six Nations 2022: France v England - Damian Penaud returns as hosts hunt Grand Slam,"France recall wing Damian Penaud, who missed the win over Wales with Covid-19, in the only change to their starting line-up for Saturday's Grand Slam decider against England.",Unknown
Rugby Union Weekly: The one about France,An in-depth look at France as they chase a first Grand Slam in 12 years.,Unknown
"Six Nations 2022: WRU 'delight' at 63,000 fans for France game after Friday night criticism","After criticism of the Friday night game, the WRU says it was ""delighted"" more than 63,000 fans were at Principality Stadium for Wales' defeat by France.",Unknown
Under-20s Six Nations Rugby: 2022: France v England,Defending champions England play France with both looking to win the Under-20 Six Nations.,Unknown
Match of the Day Wales: 2021/22: Women's World Cup Qualifier: Wales v France,Live coverage as Wales host France in an important World Cup qualifier.,Unknown
Six Nations 2022: Pride and regret for Wales following France defeat,"Wales performances often divide opinion, and the Friday night defeat by France at the Principality Stadium proves no exception.",Unknown
Rugby Union Weekly: France grand slam in sight after win over Wales,Sonja McLaughlan brings you reaction from Cardiff after France beat Wales 13-9.,Unknown
Six Nations: France edge past Wales to keep Grand Slam hopes alive,Watch highlights as France keep alive their dreams of a first Grand Slam and Six Nations title since 2010 with a tense 13-9 win over Wales.,Unknown
Six Nations: Anthony Jelonch goes over in the corner for France against Wales,Flanker Anthony Jelonch goes over in the corner as France score the first try of their Six Nations encounter against Wales.,Unknown
Six Nations: Jonathan Davies fumble costs Wales potential try against France,A big chance goes begging for Wales in the second half as Jonathan Davies spills Taulupe Faletau's offload to let France off the hook.,Unknown
Six Nations: Dan Biggar kept Wales in the game against France - Martin Johnson,"Martin Johnson praises Dan Biggar's ""very impressive"" performance in Wales' narrow 13-9 defeat to France at the Principality Stadium.",Unknown
"Six Nations 2022: Dan Biggar frustrated, annoyed and disappointed by France defeat","Wales captain Dan Biggar admits he felt ""frustrated, annoyed and disappointed"" following their Six Nations defeat by France.",Unknown
Six Nations 2022: Wales 9-13 France - visitors keep Grand Slam dream alive,France keep alive their dreams of a first Grand Slam and Six Nations title since 2010 with a tense 13-9 victory over Wales.,Unknown
Row in Africa over 2023 Rugby World Cup qualifiers in France,African rugby's governing body is accused of ignoring the interests of game on the continent after deciding to host 2023 Rugby World Cup qualifiers in France.,Unknown
Frances Finn: Jodi Law sits in (03/04/2022),"Jodi Law sits in to bring you music, news, conversation and our weekly Sunday Service.",Unknown
"In Tune: Francesca Dego, Tobias Ringborg, Anthony Pike, John Lenehan",Violinist Francesca Dego performs live in the studio for presenter Katie Derham.,Unknown
Under-20 Six Nations: Wales U20s 15-47 France U20s,France remain in contention for the Under-20s Six Nations title following a deserved bonus point win over Wales in Colwyn Bay.,Unknown
Six Nations 2022: Wales aim to go under radar against France,Wales captain Dan Biggar says he is happy for people to be talking about Grand Slam-chasing France ahead of the Six Nations showdown in Cardiff.,Unknown
Six Nations 2022: Versatile Wales forward Seb Davies prepares for France test,New Wales flanker Seb Davies is used to being versatile and now he is preparing to pack down in the back row against France.,Unknown
Wayne Pivac hopes for Cardiff capacity crowd against France as thousands of tickets remain unsold,Wales head coach Wayne Pivac says he hopes there will be close to a Cardiff capacity crowd against France as thousands of tickets remain unsold.,Unknown
"Six Nations LIVE: Watch Wales v France plus score, commentary & updates",Watch live coverage and follow text and radio commentary as Wales host France in the Six Nations.,Unknown
Six Nations 2022: France captain Antoine Dupont fit to face Wales,"France captain Antoine Dupont is passed fit to face Wales in the Six Nations in Cardiff on Friday,",Unknown
"The Ticket: Tom Robinson, Francesca Simon and Bessie Smith","From blockbuster movies to comedy gigs, Kathy Clugston has just the ticket.",Unknown
Six Nations 2022: Wales coach Wayne Pivac defends decision to pick Tomas Francis to face France,Wales head coach Wayne Pivac defends the decision to pick prop Tomas Francis to face France in the Six Nations.,Unknown
Wales squad selector: Your starting XV to play France in Six Nations,BBC Sport online voters choose their Wales starting line-up to face France on Friday and want recalls for Josh Navidi and Jonathan Davies.,Unknown
Six Nations 2022: Wales make four changes to face France,Wales bring in Cardiff duo Seb Davies and Josh Navidi in a back row reshuffle for the Six Nations match against France.,Unknown
Under-20 Six Nations LIVE: Watch Wales v France plus score,Watch live coverage as Wales host France in the Under-20 Six Nations.,Unknown
Six Nations 2022: France win men's title for first time in 12 years,France were crowned champions after beating England 25-13 in front of a home crowd at the Stade de France in Paris over the weekend.,Unknown
Frances Finn: 10/04/2022,"Frances brings you music, news, conversation and our weekly Sunday Service.",Unknown
Ballon d'Or: France Football make changes to rules around judging,The prestigious Ballon d'Or award will now be judged on a season of form rather than over a calendar year.,Unknown
Six Nations 2022: Wales warned about picking Tomas Francis against France,"The decision to declare Wales prop Tomas Francis fit to face France in the Six Nations in Cardiff on Friday has been described as a ""grave mistake"".",Unknown
"Six Nations 2022: Wales v France preview, team news and key stats",Wales will seek to end France's bid for a first Six Nations Grand Slam since 2010 when the sides meet at the Principality Stadium on Friday.,Unknown
Six Nations 2022: Wales call up Josh Navidi for France and Italy matches,Cardiff flanker Josh Navidi is called into the Wales squad for the final Six Nations games against France and Italy.,Unknown
Six Nations 2022: Wales scrum-half Tomos Williams wary of France captain Dupont,Scrum-half Tomos Williams says Wales must limit the opportunities for France captain Antoine Dupont in the Six Nations encounter.,Unknown
"Davis Cup: Australia, USA, France and Spain all through to next stage","Australia, Spain, France and the United States are among 12 nations who qualified for the next stage of the Davis Cup on Saturday.",Unknown
Scrum V Rugby: S5 E28: Pivac makes four changes for France,Gareth and Nicky discuss Tomas Francis' selection and Seb Davies starting at six.,Unknown
Scrum V: Live: 2021/2022: Wales U20s v France U20s,Gabby Logan presents live coverage of Wales U20s v France U20s.,Unknown
Gaisgich Oga an Darna Cogaidh (Kids of Courage): Series 1: Sandrine (13) in France (1942) – Help for others and solidarity,Sandrine’s family helps persecuted Jews to escape from the Nazi regime.,Unknown
Six Nations 2022: Familiar faces set for Wales and France encounter,It is not quite master against apprentice this Friday when opposite defence coaches Gethin Jenkins and Shaun Edwards tackle each other - but their mutual respect is clear.,Unknown
Under-20s Six Nations Rugby: 2022: Wales v France,Coverage as Wales host France in the under-20 Six Nations.,Unknown
"Six Nations 2022: Unstoppable France, disarray in Dublin and confused England","Five talking points from round three of the Six Nations as France, England and Ireland win.",Unknown
"Six Nations 2022: Relive Fantastic France, brilliant footwork & 'cool' Youngs from round three","Relive the best bits from round three of the Six Nations as fantastic France beat Scotland and ""cool"" dad Ben Youngs becomes England's most capped men's player with victory over Wales.",Unknown
Six Nations 2022: Lessons for Scotland in heavy defeat to France - Gregor Townsend,"Scotland need to learn to stick with a game plan under pressure, says head coach Gregor Townsend in the wake of a 36-17 defeat at home to France.",Unknown
"Six Nations 2022: Scotland v France preview, team news & key stats","Team news, match preview and statistics for Saturday's Six Nations match between Scotland and Grand Slam-chasing France at Murrayfield.",Unknown
Six Nations 2022: Scotland lose Hamish Watson to Covid for France match,Scotland flanker Hamish Watson will miss Saturday's Six Nations visit of France after testing positive for Covid.,Unknown
KS2 French: Living in France,"A collection of KS2 videos on what life is like for children in the southern French city of Marseilles. Learn about schools, shopping, activities and exploring the city in French.",Unknown
KS2 French: Sports activities in France,"A description of the annual Jours de Sport weekend event in Marseilles with activities such as skipping, rush-ball, American football and tai chi in this KS2 French video.",Unknown
KS2 French: A summer concert in France,"A summer concert takes place in la Castellane in Marseilles, celebrating cultural diversity in this KS2 French video.",Unknown
KS2 French: Going shopping in France,A boy called Tom sorts out his toys and clothes and takes them to the local second-hand market or vide-grenier to sell in this KS2 French video.,Unknown
KS2 French: Going to primary school in France,"A day at a primary school in Marseilles, including lessons and games. Children express opinions about their favourite lessons and playtime with games in this KS2 French video.",Unknown
KS2 French: A fishing trip in France,A father and son go on a fishing trip in Marseilles and les îles du Frioul. They go to the market and show us different types of fish in this KS2 French video.,Unknown
"Six Nations LIVE: Watch Scotland v France plus score, commentary & updates",Watch live coverage and follow live text and commentary as Scotland host France in the Six Nations.,Unknown
Scotland v France: Darcy Graham lighting up Six Nations after family torment,"Wing Darcy Graham on his brother's return to health after a severe brain injury and why Scotland can beat ""angry"" France.",Unknown
Six Nations Rugby: 2022: Wales v France,Gabby Logan introduces live coverage as Wales host France at the Principality Stadium.,Unknown
Six Nations: Scotland v France - are Scotland facing the best team in the world?,"Massive athletes, smart coaches and a reenergised rugby following - in France, Scotland may be facing the world's top side this Saturday.",Unknown
Under-20 Six Nations LIVE: Watch Scotland v France plus score,Watch live coverage as Scotland host France in the Under-20 Six Nations.,Unknown
Graham Rogers: Family of the last Wiltshire soldier to die in WW1 go to France to see where he's buried,Bradford on Avon family make it their mission to ensure he is never forgotten.,Unknown
Danny France: Transgender teen who died fell into service 'black hole',Danny France's father says he remains concerned others might not get the help they need.,Danny France: Transgender teen who died fell into service black hole Published 28 February Share IMAGE SOURCE KATIE FRANCE Image caption Daniel France\s family say he just wanted the world to be a better place for those he loved A transgender teenager who took his own life two weeks into the first lockdown fell into a black hole of mental health services his father said. Danny France was being transferred from Suffolk children and adolescent mental health services to Cambridgeshire adult services when he died in April 2020. His father said concerns remained that people could fall into such a trap where nothing is being done for them. The county council and mental health trust both said action was being taken. Danny\s sister Katie has previously said her brother was an incredibly genuine caring and passionate person and his loss has left a huge void in our lives. The 17-year-old grew up in Stetchworth on the Cambridgeshire-Suffolk border and moved to Cambridge in November 2019 after finding social life college everything was in the city his father Alastair France said. Mr France said while the family had known about Danny\s previous self-harming and suicide attempts his death was so much unexpected because they had made a plan for him to come home the following day. Image caption Alastair France hopes for change following Dannys death Dannys inquest heard that his GP had referred him to Cambridgeshire and Peterborough NHS Foundation Trust (CPFT) for mental health care but he was still waiting on an assessment by the adult locality team when he died. He had tried to refer himself for counselling but was denied as he was considered too high risk assistant coroner for Cambridgeshire Philip Barlow said in a prevention of future deaths report. The areas First Response Service which provides help for people experiencing a mental health crisis also assessed Danny but he had been considered not in need of urgent intervention. Cambridgeshire County Council had also incorrectly closed two safeguarding referrals for Danny the coroner found. BBC Action Line If you have been affected by any of these issues in this story you can visit the BBCs Action Line. Mr France said at the time his son moved to Cambridge he was in a situation where the children\s mental health services really didn\t] want to take someone on who will be 18 in six months so you\re waiting for the adult mental health services. The adult mental health services don\t want to do anything he said because they can\t until you\re 18 - so you fall into something of a black hole. Danny\s death was certainly preventable and I think many lessons have been learned. There may be more to learn and if those lessons result in just one young person not going through this then that\s got to be a good thing. IMAGE SOURCE KATIE FRANCE Image caption A coroner says Mr France\s death highlighted a dangerous gap in mental health services Mr France said he believed the pandemic really has hit young people. Danny\s death occurred really early in the lockdowns but we know so many friends of Danny\s that have gone through conjuring with their own demons through the times when they\ve not been able to meet Mr France said. Commenting on the coroner\s finding of considerable delay in obtaining appointments for the gender identity clinic Mr France said such delays were happening to people while they\re going through massive changes in their own bodies and they\re in bodies they hate which is phenomenally difficult for their mental health. A council spokesperson said it was aware of a responsibility to collectively learn from Danny\s tragic death with other partners and said it had put in place actions that will improve our practice when dealing with young people in vulnerable situation. A spokesperson for CPFT said it had made changes adding: We continue to work with partners to learn any additional lessons and further improve treatment pathways so that all young people can access the support they need as quickly as possible. Find BBC News: East of England on Facebook Instagram and Twitter. If you have a weather story email eastofenglandnews@bbc.co.uk]
Six Nations: Scotland v France - Pick your Scotland XV,"After a disappointing loss in Wales, who should Gregor Townsend select for Scotland's Six Nations clash with France? Pick and share your XV.",]
The Inquiry: What’s happened to the left in France?,Why have left wing political parties in France lost so much popular support?,Unknown
Rugby Union Weekly: England survive & France thrive,"Chris Jones, Matt Dawson and Philippa Tuttiett reflect on events at Twickenham.",Unknown
Ukraine: France seizes Russian ship over sanctions,The Russian-flagged cargo ship is suspected of breaching sanctions imposed because of the Ukraine war.,Ukraine: France seizes Russian ship over sanctions Published 26 February Share Related Topics Russia-Ukraine war IMAGE SOURCE REUTERS Image caption The Baltic Leader ship is being held in Boulogne France has intercepted and impounded a Russian-flagged cargo ship suspected of breaching sanctions imposed because of the invasion of Ukraine. The ship the Baltic Leader was heading from the north-western French city of Rouen to St Petersburg in Russia with a cargo of new cars. It is being held at the Channel port of Boulogne. Russian state media say the vessel is owned by a subsidiary of a bank targeted in recent EU and US sanctions. A regional French official said such a measure was rare but called it a sign of firmness. The US Treasury Department has issued blocking sanctions against the vessel saying it is owned by a subsidiary of Promsvyazbank one of the Russian financial institutions hit by sanctions. However the bank has said it no longer owns the Baltic Leader. It told Reuters news agency that the ship was sold to another firm before the sanctions were imposed. French officials said they were checking whether the vessel was linked to Russian financial interests and that the crew were being co-operative. The process could take up to 48 hours they added. The Russian embassy in Paris said it would send a note of protest to the French foreign ministry over the seizure. Russia attacks Ukraine: More coverage THE BASICS: Why is Putin invading Ukraine? IN MAPS: How Russia carried out the invasion SANCTIONS: Who is not on UK list? Related Topics Russia-Ukraine war France Russia Ukraine]
Six Nations 2022: France v England,Live rugby union commentary of France v England in the Six Nations Championship.,Unknown
Radio Wales Sport: The Six Nations: Wales v France,Live commentary from The Six Nations: Wales v France,Unknown
Europop - The Neil Hannon Show: Series 1: Episode Four - France & Belgium,This week Neil adventures to France and Belgium!,Unknown
Frances Finn: 13/03/2022,"Frances brings you music, news, conversation and our weekly Sunday Service.",Unknown
Floyd on France: Provence,Keith Floyd celebrates the great gastronomic regions of France. (1987),Unknown
HARDtalk: Patrice Evra – Former Manchester United and France Football Captain,Stephen Sackur speaks to former Manchester United and France star Patrice Evra.,Unknown
