title,summary,contents
WWE: Cardiff hosts first UK stadium event in 30 years,Cardiff's Principality Stadium will host the world's biggest wrestling stars in September.,WWE: Cardiff hosts first UK stadium event in 30 years Published 3 hours ago Share IMAGE SOURCE GETTY IMAGES Image caption The likes of Finn Balor and Baron Corbin could be in the ring in September The first WWE stadium event in the UK for 30 years will be held in Cardiff. It will take place on Saturday 3 September at the Principality Stadium featuring some of the worlds biggest wrestling stars. The event could include WWE Champion Roman Reigns Raw Womens Champion Bianca Belair Seth Rollins Ricochet Charlotte Flair and Finn Balor. Organisers said the yet-to-be-named event will be on a par with SummerSlam at Wembley Stadium in 1992. Fans can register their interest for tickets ahead of sales starting. IMAGE SOURCE JASON KOERNER Image caption Bianca Belair and Mella is Money at WWE Smack Down Miami 2021 Principality Stadium is the perfect place for a major event hosting our amazing fans from Wales throughout all of Europe and around the world said John Porco WWE senior vice president of live events. The weekend will be filled with a variety of WWE experiences that we believe will leave a lasting memory on par with SummerSlam at Wembley Stadium in 1992. Mark Williams Principality Stadium Manager said the event would: offer WWE fans an unrivalled event experience both inside and outside of the stadium and bring great benefit to the wider city of Cardiff. Related Topics Cardiff Professional wrestling]
Politics UK,Highlights of the week’s proceedings at Westminster and the regional governments.,Unknown
RuPaul’s Drag Race UK vs the World,RuPaul host as nine international queens compete to be Queen of the Mothertucking World.,Unknown
The Rap Game UK,"Rap legends DJ Target, Krept and Konan hunt for the next big MC to take over the scene.",Unknown
Defenders UK,Following the work of enforcement officers as they battle to protect the public.,Unknown
Electric Ride UK,Peter Curran travels from Land's End to John O'Groats in an electric car.,Unknown
Walter Kershaw: The UK's First Street Artist?,Uncovering the life and work of a pioneering and under-appreciated British painter,Unknown
Network UK,"A sound portrait of life in England, Scotland, Wales and Northern Ireland",Unknown
Radio 1's Big Weekend - UK 2020,"New live sets from artists in their own homes, plus classic Big Weekend performances!",Unknown
UK Confidential,Martha Kearney and guests reveal the truth behind previously secret government files,Unknown
Newsday: UK and US investigate claims chemical weapons used in Mariupol,British foreign secretary says use of chemical weapons would be a callous escalation,Unknown
The Outlook Podcast Archive: Life as the UK's first black TV reporter,Broadcasting legend Sir Trevor McDonald looks back on his life and career,Unknown
DJ Target: The UK Touchdown Tour: Manchester,Target has 1Xtra's ultimate guide to new music. @1Xtra on social,Unknown
UK economic growth slows sharply in February,A sharp fall in car and computer production weighed on the UK's economic expansion.,UK economic growth slows sharply in February Published 1 day ago comments Comments Share IMAGE SOURCE GETTY IMAGES The UKs economic growth slowed in February following a sharp fall in the production of cars and computer goods. The Office for National Statistics (ONS) said the economy expanded by 0.1% compared with 0.8% in January. The fall in manufacturing was off-set by growth in the services sector including areas such as tourism and travel. The ONS also said that the UK economy is 1.5% above its pre-coronavirus pandemic level in February 2020. Economists had been expecting gross domestic product (GDP) - which measures activity in services construction and industrial production - to grow by 0.3% in February following the lifting of most Covid restrictions in England at the end of January. The pace of the recovery was already going to slow once the post-Omicron bounce faded and the squeeze on household real incomes intensified said Ruth Gregory senior UK economist at Capital Economics. But we hadn\t expected it to slow so much so soon. Alpesh Paleja lead economist at the CBI a business lobby group said: Near-term challenges to the outlook have ramped up since with a growing cost-of-living crunch set to weigh on growth he said. Businesses are also grappling with headwinds from the Ukraine conflict which is exacerbating cost pressures and supply chain disruption. Chancellor Rishi Sunak said he welcomed February\s growth figures. He said: Russia\s invasion of Ukraine is creating additional economic uncertainty here in the UK but it is right that we are responding robustly against Putin\s unprovoked invasion. Semiconductor shortage The ONS said the fall in industrial production was due to a 5.4% drop in the manufacture of transport equipment driven entirely by the fall in manufacture of cars. It added that production of computer and electronic products had fallen in February. Barret Kupelian senior economist at the accountancy firm PwC UK said: This is an area other European economies have also been struggling with because of the semiconductor shortage. Manufacturing is also likely to face headwinds due to high energy prices as it consumes above average energy per unit of GDP and we will see this reflected in future data releases. The construction sector also contracted but at a slower rate than production industries. Capital Economics said the fall was in part driven by Storm Eunice Dudley and Franklin resulting in construction projects being delayed. The services sector provided the only bright spot in the data as post-Omicron spending on leisure continued with growth in accommodation as well as travel agencies and tour operators. Mr Kupelian said growth momentum shifted towards the sectors of the economy which were hardest hit during the pandemic including accommodation and food services activities and arts entertainment and recreation. He said: We expect that there is still more growth to come from these sectors.]
SKA: UK to build software brain for giant radio telescope,The Square Kilometre Array's software will control hundreds of dishes and thousands of antennas.,SKA: UK to build software brain for giant radio telescope Jonathan Amos Science correspondent @BBCAmos on Twitter Published 1 day ago comments Comments Share IMAGE SOURCE SKAO Image caption SKA artwork: The telescope is being built across two continents A group of UK institutions is going to build a prototype brain to control the world\s biggest radio telescope. The Square Kilometre Array (SKA) will initially comprise 197 dishes and 130000 antennas spread across South Africa and Australia. All will be linked and need to work in perfect harmony. The software now being developed for the purpose will be trialled on a small subset of the infrastructure before being rolled out across the network. The SKA is an immense computing challenge says Dr Chris Pearson astronomy group leader at RAL Space based on the Harwell Campus in Oxfordshire. We\re talking something like 600 petabytes (600 million gigabytes) per year of data coming out of the SKA to be delivered to astronomers worldwide he told BBC News. So it\s a scaling problem it\s a processing problem it\s a data transfer problem. A $10bn machine in search of the end of darkness Astronomers stand up to big satellite networks Single star detected at record-breaking distance IMAGE SOURCE ICRAR-CURTIN Image caption Prototype hardware: Low-frequency antennas will be positioned in Australia The SKA is one of the grand scientific projects of the 21st Century and will join a series of next-generation telescopes coming online this decade. This includes the recently launched James Webb Space Telescope and the super-sized European Extremely Large Telescope (E-ELT) which will have an optical primary mirror 39m in diameter. The SKAs resolution and sensitivity at radio wavelengths allied to that prodigious computing support will enable astronomers to address some of the most fundamental questions in astrophysics today. How did the first stars come to shine in the Universe? What exactly is dark energy - the mysterious form of energy that appears to be driving the cosmos apart at an accelerating rate? And even the most basic question of all - are we alone? The SKA\s unprecedented sensitivity would pick up any extra-terrestrial transmissions. The international organisation behind the SKA gave the formal go last year to begin construction of the array - a task that will take most of this decade. The UK government through the Science & Technology Facilities Council (STFC) is the largest contributor to the SKA organisation and currently has a commitment to support 15% of the total cost of construction and the initial operations from 2021 to 2030. IMAGE SOURCE ESO Image caption Artwork: The SKA will complement a new wave of super telescope such as the E-ELT As part of this commitment the STFC released £15m on Monday to fund the arrays software development. The money will go to support work at the universities of Oxford Cambridge and Manchester as well at STFC labs at Harwell Daresbury and Edinburgh. The software will tell the telescope where to look on the sky diagnose any issues and translate the telescopes signals into useable data from which discoveries can be made. This would be straightforward if it were one dish or one antenna but the system must work in unison across the thousands of individual components of the array. We will start small said Dr Pearson. The software that we produce will work first on four radio dishes in South Africa. And if you\re talking about those small antennas in Australia it will work on six stations (of 256 antennas) in the first instance. And then we have to scale in a smart way. We can\t do it linearly as the number of dishes and antennas increases or it will become impossible. This first prototype brain is expected to be up and running in 2024. View comments Related Topics Astronomy South Africa Harwell Australia]
Rishi Sunak's wife to pay UK tax on overseas income,Akshata Murty has previously not paid UK tax on shares worth £700m in an Indian tech company.,Rishi Sunaks wife to pay UK tax on overseas income By Simon Jack Business editor Published 3 days ago Share IMAGE SOURCE GETTY IMAGES Chancellor Rishi Sunaks wife Akshata Murty has said she will pay UK taxes on her overseas income following a row over her non-domicile status. She owns £700m in shares of the Indian IT giant Infosys founded by her father from which she received £11.6m in dividend income last year. As a non-domiciled (non-dom) UK resident she is not required by law to pay UK taxes on her overseas income. But she told the BBC she did not want to be a distraction for her husband. Her decision to change her tax arrangements follows accusations of hypocrisy against the chancellor with opposition parties saying Mr Sunaks family is benefiting at a time when the cost of living is going up. The BBC estimates Ms Murty would have avoided £2.1m a year in UK tax through her non-dom status. Ms Murty said her tax arrangements had been entirely legal but added: It has become clear that many do not feel it is compatible with my husband\s role as chancellor. I understand and appreciate the British sense of fairness and I do not wish my tax status to be a distraction for my husband or to affect my family. A non-dom is someone who lives in the UK but declares their permanent home to be in another country. Sunak held US green card until last year Smearing my wife to get at me is awful says Sunak Whatever happened to Sunaks political honeymoon? Mr Sunak has accused political opponents of smearing his wife to get at him. He has also said she is entitled to use the non-dom arrangement as she is an Indian citizen and plans to move back to her home country in the future to care for her parents. Ms Murty will retain her Indian citizenship and her non-dom status which as the BBC revealed allows her family to avoid paying inheritance tax in the UK - which at current valuation could amount to £280m. On Thursday it emerged she pays £30000 a year to maintain her non-dom status. In her statement Ms Murty also said she would now be paying UK tax on all my worldwide income including dividends and capital gains wherever in the world that income arises. I do this because I want to not because the rules require me to. These new arrangements will begin immediately and will also be applied to the tax year just finished (2021-22) she added. Labour MP Louise Haigh said Mr Sunak had not been transparent. The shadow transport secretary said: It is clear that was legal. I think the question many people will be asking is whether it was ethical and whether it was right that the Chancellor of the Exchequer whilst piling on 15 separate tax rises to the British public was benefiting from a tax scheme that allowed his household to pay significantly less to the tune of potentially tens of millions of pounds. Lib Dem Treasury spokesperson Christine Jardine called on the Sunak household to backdate the taxes in full adding: Doing something just because you\ve been found out isn\t good enough. While one former cabinet minister said he had mild sympathy for Mr Sunak as he had been subjected to a nasty ad hominem attack he added that every leadership candidate declared or otherwise should expect this. He was naïve if he thought families were off-limits for attacks. His view was that the tax row could be as toxic for the chancellor as partygate has been for Mr Johnson. It was all about a disconnect with ordinary voters. They could not hold a childrens birthday party during lockdown but boozy get-togethers were apparently held at the heart of government. Similarly their taxes were being put up by the chancellor while his wife did not pay UK tax on some of her own earnings. Read Iains full analysis here. Speaking to the Sun newspaper Mr Sunak said it was unfair to attack his wife as she was a private citizen adding: I\m an elected politician. So I know what I signed up for. It comes on the same day it was revealed that the couple retained their rights to live and work in the US by having green cards - which requires holders to consider America their permanent home - for more than a year after Mr Sunak became chancellor in 2020. He returned his green card in October last year ahead of his first US trip as a UK government minister. Asked about the issue at a White House daily media briefing press secretary Jen Psaki said it was a matter for other government departments and declined to comment. A spokeswoman for Mr Sunak said he had filed US tax returns while he held his green card in full compliance with the law. Meanwhile No 10 has rejected newspaper reports that its staff are leaking damaging stories about Mr Sunak to the media. And Prime Minister Boris Johnson told reporters at a Downing Street news conference: If there are such briefings they are not coming from us in No 10 and heaven knows where they are coming from. I think that Rishi is doing an absolutely outstanding job. What is a non-dom? A non-dom is a UK resident who declares their permanent home or domicile outside of the UK. A domicile is usually the country his or her father considered his permanent home when they were born or it may be the place overseas where somebody has moved to with no intention of returning. For proof to the tax authority non-doms have to provide evidence about their background lifestyle and future intentions such as where they own property or intend to be buried. Those who have the status must still pay UK tax on UK earnings but do not need to pay UK tax on foreign income. They can give up their non-dom status at any time. Ms Murty has chosen to be domiciled in India via her father the billionaire Narayana Murty. Read more here. Related Topics UK taxes Infosys Rishi Sunak]
Falklands War: 'The UK is still usurping our land',"Argentina's president has said he will keep fighting for control of the islands, also known as the Malvinas.",]
Hampden nominated by Scottish FA for UK & Ireland Euro 2028 bid,"Hampden Park will be the nominated stadium to host matches as part of the UK and Ireland Euro 2028 bid, the Scottish FA confirms.",]
Akshata Murty: Chancellor's wife could save £280m in UK tax,A tax agreement between the UK and India could offer significant savings on Ms Murty’s inheritance tax bill.,Akshata Murty: Chancellors wife could save £280m in UK tax By Simon Jack Business editor Published 3 days ago Share IMAGE SOURCE GETTY IMAGES Image caption Rishi Sunak has argued it is wrong for people to criticise his wife Akshata Murty Chancellor Rishi Sunaks wife could save herself £280m in UK tax thanks to a loophole created by a treaty between the UK and India dating from the 1950s. Akshata Murty has non-dom status meaning she does not have to pay UK tax on income earned abroad. Non-dom status wears off after 15 years and the person is subject to all tax requirements of a UK citizen - including on their estate. But there is an exception for Indian citizens around inheritance tax. A technicality means that even if Ms Murty agrees to pay UK taxes on her worldwide income but retains her non-dom status she can still benefit from a provision in a 1956 treaty that was designed to stop Indian citizens being double-taxed on their estates in the UK and India. Ms Murty earns money from shares in an Indian software giant founded by her billionaire father. India abolished inheritance tax in the 1980s but this tax exemption was never revoked. So Ms Murty could have her estate taxed there at zero upon her death rather than in the UK at 40% - saving £280m on her £700m stake in the company founded by her father. Like her current reduced tax rate on her worldwide income - this would be perfectly legal and HMT Treasury has said that the chancellor provided all relevant information on his interests when he became a minister. Smearing my wife to get at me is awful says Sunak Sunak under pressure over wifes non-dom status Firm part-owned by Sunaks wife closing Russia office Nevertheless the very significant sums Ms Murty could have saved up to now - and may save in the future - pose some awkward questions for Rishi Sunak. As Chancellor Rishi Sunak has ultimate oversight of all fiscal matters in the UK. That includes regular reviews of the non-dom rules. Reviewing rules which directly affect the financial arrangements of his own family members seems uncomfortable at best a direct conflict of interest at worst. Others including the chancellors political opponents have suggested that Mr Sunak should move his power over non-dom policy to another department. On reported dividends of £11.5m from £700m worth of shares Ms Murty would have paid tax at 39.5% as a UK citizen which works out as £4.5m. As an Indian citizen the Indian government would tax dividends at 20% (a withholding tax). The UK government would tax the difference between that and the UK rate or 19.5%. So Ms Murty saves £2.1m per year through her non-dom status. She has also reportedly received income from companies based in Mauritius which enjoys a more favourable tax treaty with India where the Indian government withholds just 15% of dividend income from Indian companies. It is not known whether Murty holds these shares through a company based in a Mauritius or any other tax haven. Labour party leader Sir Keir Starmer has called for full transparency from the chancellor over his family\s finances. A spokesperson for HM Treasury said: The chancellor provided a full list of all relevant interests when he first became a Minister in 2018 as required by the Ministerial Code. The Independent Adviser on Ministers\ Interests has confirmed that they are completely satisfied with the steps the Chancellor has taken to meet the requirements of the Code. To be clear Akshata Murty is not accused of any wrongdoing whatsoever. But someone with preferential tax status living in Number 11 Downing Street does pose uncomfortable questions for the other adult resident.]
How do the UK's schemes for Ukrainian refugees work?,How is the government helping Ukrainian refugees come to the UK?,How do the UKs schemes for Ukrainian refugees work? By Reality Check BBC News Published 3 days ago Share Related Topics Russia-Ukraine war IMAGE SOURCE REUTERS The UK has been widely criticised for not allowing as many Ukrainian refugees to enter as some other European states. What are the schemes? Family visa scheme The family visa scheme is for Ukrainians with a family member in the UK. That family member must have British nationality indefinite leave to remain settled status or proof of permanent residence. It was launched at the beginning of March and extended after criticism that it excluded some close family members. Ukrainian refugees are advised to apply at a Visa Application Centre (VAC) in countries including Poland Romania Hungary and Moldova. They need to provide biometric information such as fingerprints. Applications from refugees with a Ukrainian passport can be made online with biometric information provided after arrival in the UK. As of 7 April the UK had issued 28500 visas under this scheme from 36300 applications. However only 10800 have arrived in the UK under this scheme so far. Ukrainian refugee family thwarted by paperwork Sponsorship scheme The Homes for Ukraine scheme lets people in the UK host Ukrainians refugees who are known to them but who do not have family ties here. It was launched on 14 March and more than 100000 people and organisations signed up within the first day. Under the scheme people are asked to offer Ukrainians a rent-free space in their home or a separate residence for at least six months. They will not be expected to provide food and living expenses but can choose to do so. Those offering to host a refugee will be vetted by the government and Ukrainian applicants will undergo security checks. Each household housing a refugee will be offered £350 a month tax-free for up to 12 months. Local authorities will also receive £10500 in extra funding per refugee for support services with more for children of school age. However some families who have applied to be sponsors have complained that the system is overly complicated. Government figures show that as of 7 April 12500 sponsorship visas had been issued from 43600 applications. However only 1200 refugees have arrived in the UK so far under the sponsorship visas. How to sponsor Ukrainian refugees and offer them a UK home 2700 visas issued through Homes for Ukraine Homes for Ukraine: Its sad slow and frustrating Why has the UK governments response been criticised? The Home Office has been accused of a chaotic and overly-bureaucratic response. EU countries are allowing Ukrainian refugees in for up to three years without a visa and more than four million people have fled to neighbouring countries since the Russian invasion. Poland has taken more than 2.5 million refugees and Romania more than 650000. As of 7 April 40900 UK visas had been issued in total but only 12000 have reached the UK so far. On 8 April Home Secretary Priti Patel apologised with frustration for visa delays. On 26 February Home Office minister Kevin Foster was widely criticised after highlighting the governments Seasonal Worker visa which allows people to apply to come to the UK to pick fruit and vegetables. His tweet was subsequently deleted. There have been complaints that the UK visa process is too complicated - one British man told the BBC it had taken 72 hours to get a visa for his Ukrainian step-daughter who had fled to Romania. There have also been reports of refugees who have got as far as Calais before being turned away by Border Force officials for not having the right paperwork. Heartless or doing its best to help refugees? UK in crisis mode On 7 March Home Secretary Priti Patel told MPs we have set up a bespoke VAC en route to Calais. But the Home Office did not confirm that this was the case. The government then opened a VAC in Lille on 10 March - around 70 miles away from Calais. The Home Office said it would deal with a limited number of cases - referred to it by Border Force officials - and advised applicants not to travel there. IMAGE SOURCE REUTERS Why have so few visas been issued by the government so far? In addition to the lengthy paperwork refugees must submit to obtain both types of visas government guidance for the Homes for Ukraine scheme states that applicants will be subject to a range of checks. These can include: a visit from local authorities to ensure that properties are fit for purpose basic DBS check if hosts are sponsoring adults enhanced DBS check if hosts are sponsoring children under 18 or vulnerable adults. It is likely that the vetting process will exacerbate what already seems to be a long and complex visa application process. Will the UK lift visa rules for Ukrainian refugees? The government has faced pressure - including from some Conservative MPs - to issue emergency visas or lift visa requirements altogether for Ukrainian refugees. Home Secretary Priti Patel has ruled this out insisting that security and biometric checks were vital to keep British citizens safe. The government also says that some people in Calais claiming to be Ukrainians have presented false documents. Boris Johnson has defended the current visa rules saying: People want us to be generous but also careful. He has also repeatedly talked about the government\s proud record on refugees since 2015 telling MPs we\ve done more to resettle vulnerable people than any other European country since 2015. However this only refers to one specific category - resettled refugees. Other European countries have taken in larger numbers of refugees in general. Fact-checking Boris Johnsons claim about refugees What claims do you want BBC Reality Check to investigate? Get in touch Read more from Reality Check Related Topics Russia-Ukraine war UK immigration Refugees and asylum seekers Reality Check Ukraine Ukrainian refugees]
Homes for Ukraine: Family's 'torturous' wait for a UK visa,Host Joanne Turner and refugee Iryna fear it may be weeks before her family can come to the UK.,Homes for Ukraine: Familys torturous wait for a UK visa By Joseph Lee BBC News Published 3 days ago Share Related Topics Russia-Ukraine war IMAGE SOURCE ELENA A British woman said she is expecting a torturous weeks-long wait before the Ukrainian refugee family she is sponsoring receives visas to travel. Joanne Turner from Norwich said the refugees made their application as soon as the scheme opened on 18 March. But three weeks on Iryna her daughter Sofia and her mother Elena are still stuck sharing a flat with a Polish family in Krakow. The feeling of uncertainty is the most frustrating says Irina. A government spokesperson said it had launched one of the fastest and biggest visa schemes in UK history following the invasion. But as Home Secretary Priti Patel apologised for visa delays Joanne told BBC Radio 4\s Today programme that it felt as if their application was getting nowhere really. Homes for Ukraine: Its sad slow and frustrating Patel apologises for Ukraine refugee visa delays Man buys £100k house for Ukrainian refugee family She said they had made the application as soon as the lines were first open and had prepared their home passing checks to ensure they had suitable accommodation. We had hoped that in a few days Iryna and her mum Elena and her little girl Sofia would be with us in Norwich she said. Everything is ready. But it was impossible to get a timeframe from the authorities Joanne said describing the responses from the government helpline as pretty crazy stuff. We\ve been trying everything. There\s a government helpline that you can get through to. I called them and they basically said we can\t give you any information she said. They were basically saying we are told to say nothing we can\t give any information on the status of the application. Joanne said the process is frustrating for her but for Iryna and her family and all the other families that are trying to get to the UK it\s torturous really. She told the BBC that they had shared photos of their house and their dog an Irish setter called Rathlin with the family as they waited. Her little girl just wants to meet our dog said Joanne. IMAGE SOURCE JOANNE TURNER In the meantime Iryna and her family are sharing an apartment in Krakow with a Polish family. She said the family have been kind but have been asking her how long she needs to stay and she doesnt know the answer. We expected to stay here a few days until all the documents were going to be ready. But it seems the time is going to be prolonged for a few weeks not a couple of days Iryna said. The feeling of uncertainty is the most frustrating because if we knew how long it\s going to be - a few more days a few more weeks... Nobody is able to provide you with exact information about the timing. She said her daughter is seven and has now missed more than a month of school since the invasion began. They could not make any permanent arrangements in Poland because the country which has seen more than 2.5 million cross the border since Russia attacked is overloaded with other Ukrainian refugees Iryna said. But she said she was grateful for the proactive efforts of British people and said she hoped it would be possible to find shelter in a few days. The government spokesperson added: In just four weeks over 40000 visas have been issued so people can rebuild their lives in the UK through the Ukraine Family Scheme and Homes for Ukraine. We are continuing to speed up visa processing across both schemes including boosting caseworkers and simplifying the forms and we expect thousands more to come through these uncapped routes.]
Drinkers for Ukraine beer delivery nears UK,"Beer brewed at a Kyiv-based brewer will be sold in the UK, with profits returned to the Ukraine.",Drinkers for Ukraine beer delivery nears UK Published 4 days ago Share Related Topics Russia-Ukraine war IMAGE SOURCE VARVAR BREW Image caption The equivalent of 45000 pints of beer from Varvar Brew in the Ukrainian capital is on its way to the UK A batch of imported Ukrainian beer set to be sold off in aid of the country has almost reached the UK. With many Ukrainian regions banning sales of alcohol after the Russian invasion 44 days ago Kyiv-based Varvar Brew was left with unsold stock. Hertfordshire-based beer wholesaler Euroboozer arranged for the equivalent of 45000 pints to be driven to the UK. Pubs and shops around the country will sell the beers with hundreds of drinks already pre-ordered by customers. Bier Huis an off-licence in Ossett West Yorkshire said it had sold most of its share already. David Jones Bier Huis\ owner said: There\s a number of breweries in Ukraine and they need to shift that beer to keep their company afloat and provide support for Ukrainian people. No-one will make any cash on it it will all go back to help with the war effort. Euroboozer said the truck containing pints left the Ukrainian capital on 31 March. The 370-mile (600 km) journey to Poland usually takes about 10 hours the wholesaler said but this trip took five days. IMAGE SOURCE EUROBOOZER Image caption The beer has been transported roughly 1400 miles (2256km) from Kyiv in Ukraine to Calais in France Martin Dawson of Varvar Brew said: The situation in Kyiv is unpredictable and we don\t know exactly how many days we will still be able to get our hands on our beer. Hopefully each and every beer that leaves the country can provide real enjoyment but also play a role in keeping our fight at the front of people\s minds. The lorry reached Calais in France on Thursday the wholesaler said with customers able to make additional donations on top of the beer price. Follow BBC Yorkshire on Facebook Twitter and Instagram. Send your story ideas to yorkslincs.news@bbc.co.uk. Related Internet Links Drinkers for Ukraine The BBC is not responsible for the content of external sites. Related Topics Russia-Ukraine war Kyiv Ossett Beer]
Ukraine refugees: Patel apologises for UK visa delays,"Figures show that of 41,000 refugees granted visas, only 12,000 have reached the UK.",Ukraine refugees: Patel apologises for UK visa delays By Mark Easton and Callum May BBC News Published 4 days ago Share Media caption Watch: Home Secretary Priti Patel apologises for Ukraine visa delay Home Secretary Priti Patel has apologised for the frustrating visa delays which have prevented thousands of Ukrainian refugees entering the UK. Just over a quarter of those Ukrainians granted visas - 12000 - have reached the UK so far Ms Patel told BBC News. Would-be sponsors of refugees have criticised the bureaucracy and ensuing delays in the Homes For Ukraine scheme. Home Office figures published on Friday show the government has granted 41000 visas to Ukrainians fleeing the war. Of the visas granted: 28500 were issued under the Ukraine Family Scheme and 12500 under the Homes for Ukraine Scheme which allow people to sponsor Ukrainian refugees In terms of arrivals into the UK: 10800 have arrived under the family scheme and 1200 under the sponsorship scheme I\ll be very candid it has taken time. Any new scheme takes time any new visa system takes time said Ms Patel. It\s been frustrating she admitted. I apologise with frustration myself. Ms Patel is the second government minister to apologise for the visa delays this week following the refugees minister Lord Harrington who told parliament that not enough visas had been issued. Streamlined The latest figures suggest there has been no significant increase in the speed of issuing visas to Ukrainian refugees despite assurances that processes have been streamlined. The Ukrainian Family Scheme had been issuing about 6000 visas issued per week but new data suggests that figure has fallen to just over 4000 in the latest seven-day period. The Homes for Ukraine Scheme has increased from 4700 in the first two weeks of operation to almost 8000 in the most recent week. The Home Secretary has described the UK response to the war in Ukraine as very generous. However the number of refugees physically arriving into the UK remains far below the numbers arriving in other comparable European countries. The German government said earlier this week it had accepted 300000 Ukrainians with refugees crossing the countrys open border with Poland - both countries are part of the Schengen area. Meanwhile 20000 refugees have arrived in Ireland which is not part of the Schengen area In March the European Union granted Ukrainian refugees rights to live and work in the EU and to access healthcare housing and education immediately for up to three years without going through a formal immigration process. Germany is an EU country said Ms Patel. They don\t have visa checks their borders are open. She said any comparison with the UK was not like-for-like: We are an independent third country and we want to give people the status and security of coming to our country along with the warm welcome. Desperate wait Fruit farmer Chris Tattersall from Torrington in Devon is waiting for visas to be approved for a refugee family he is sponsoring. Mr Tattersall and his wife Anne said they had a long wait after submitting visa applications for a woman they had contacted named Elena her elderly parents and young daughter. Image caption Chris Tattersall (R) and his wife Anne have sponsored a Ukrainian family but complain that bureaucracy is causing delays The family who are waiting in Poland were told the application had been accepted six days later. I\ve been worrying that six days for them is like six years Mr Tattersall said. I don\t know why the government wants to slow it down. There are people who are desperate. There are families sleeping on park benches in freezing temperatures in Poland. Why when they could be on a train for free across Europe and come here? IMAGE SOURCE FAMILY PHOTO Image caption Elena (R) and her family are waiting in Poland for their UK documents to be approved Labour shadow home secretary Yvette Cooper called the visa numbers scandalous and shameful. Over 30000 people with British sponsors waiting are still stuck in limbo around half of whom have been waiting more than 10 days already to hear anything said Ms Cooper. Behind these numbers are many desperate mothers and children in temporary accommodation or still sheltering in Ukraine. British families have offered Ukrainians sanctuary in their hour of need but the Home Secretary is letting everyone down. Out of touch The Refugee Council accused the government of choosing control over compassion arguing that visas for Ukrainians should be waived in the short term. Asking Ukrainian families who are scared exhausted and traumatised to fill out a long and complex visa application is unacceptable and totally out of touch with the terrifying situation they find themselves in said the charity\s chief executive Enver Solomon. Priti Patel said she wanted to avoid a repeat of the Windrush scandal in which people who moved to the UK from the Caribbean later faced deportation. The Home Office kept no record of those granted leave to remain and issued no paperwork - making it subsequently difficult for Windrush arrivals to prove their legal status - and in 2010 destroyed landing cards belonging to those Windrush migrants creating further problems. Ms Patel also stressed the importance of security checks while insisting those checks were not causing delays to the system. I see security and intelligence - not just advice but reports - every single day. I know what is going on in the world. I know what is going on in the region. I know what Russia is capable of.]
Heartless Crew: Heartless UK R&B and soul special,Heartless Crew take over 1Xtra with some UK R&B and soul classics.,Unknown
Newshour: UK prime minister pledges aid to Ukraine,Boris Johnson has held talks in Kyiv with Ukraine's President Volodymyr Zelensky,Unknown
"Newark: Man arrested at UK border after £1,599 phone stolen",Police detain a 20-year-old man trying to leave the country in an Audi A3 linked to the theft.,Newark: Man arrested at UK border after £1599 phone stolen Published 3 days ago Share IMAGE SOURCE PA MEDIA Image caption Border Force officials and Kent Police stopped an Audi A3 for having no insurance on Tuesday Police investigating the theft of a £1599 mobile phone have arrested a man trying to leave the UK. Officers were hunting an Audi A3 used as a getaway car following the theft from Currys at Northgate Retail Park Newark Nottinghamshire on 24 March. Border Force officials and Kent Police stopped the car for having no insurance on Tuesday. Nottinghamshire Police said a 20-year-old driver was arrested and brought back to the county for questioning. He has since been released under investigation while inquires continue. Det Insp Nick Hall said: Shop thefts of this nature can have a really serious impact even on the biggest businesses and we are working hard every day to tackle them. Part of that work is focussed on tracking down suspects and we are grateful to Kent Police and Border Force officers for their assistance in apprehending the suspect. Follow BBC East Midlands on Facebook Twitter or Instagram. Send your story ideas to eastmidsnews@bbc.co.uk. Related Topics Newark on Trent]
UK Sport to launch Sport Integrity service to safeguard athletes,"An independent and confidential service aimed at tackling bullying, harassment, discrimination and abuse in UK Sport will launch in May.",]
